人名1	人名2	预测	目标
许戈辉	丁健	夫妻	夫妻
胡瓜	丁柔安	夫妻	情侣
陈立夫	陈果夫	夫妻	兄弟姐妹
张楚格	王亮	夫妻	夫妻
王亮	王洪礼	父母	父母
蓝心湄	黄小柔	夫妻	父母
冯远征	梁丹妮	夫妻	夫妻
费俊龙	黄建明	夫妻	兄弟姐妹
冯玉祥	冯洪国	父母	父母
侯耀文	袁茵	父母	夫妻
东山纪之	木村佳乃	夫妻	夫妻
姜大卫	秦沛	兄弟姐妹	兄弟姐妹
木谷实	梶和为	父母	师生
木谷实	武宫正树	父母	师生
陈叔宝	沈婺华	夫妻	夫妻
李双泽	胡德夫	夫妻	好友
胡友松	李宗仁	师生	夫妻
甘泗淇	李贞	夫妻	夫妻
范瑞娟	袁雪芬	合作	合作
莫言	管笑笑	父母	父母
孙权	甘宁	夫妻	上下级
刘永美	刘永好	兄弟姐妹	兄弟姐妹
刘永好	刘永行	兄弟姐妹	兄弟姐妹
王光英	王光美	夫妻	兄弟姐妹
张翼鹏	盖叫天	合作	父母
永井大	广末凉子	情侣	情侣
刘半农	钱玄同	兄弟姐妹	合作
何英	傅全香	合作	师生
傅全香	徐涵英	合作	师生
虚竹	玄慈	父母	父母
郭启儒	郭全宝	合作	合作
郭启儒	侯宝林	合作	合作
郑洁	蔡洪玲	夫妻	师生
吕后	刘邦	夫妻	夫妻
潘长江	巩汉林	父母	合作
哈里王子	威廉王子	父母	兄弟姐妹
小林光一	小林泉美	师生	父母
曹训	曹皑	父母	兄弟姐妹
曹爽	曹羲	父母	兄弟姐妹
曹真	曹羲	父母	父母
毛岸英	刘思齐	父母	夫妻
洪天祥	洪金宝	父母	父母
郭可盈	林文龙	兄弟姐妹	夫妻
明智光纲	明智光秀	父母	父母
王政君	王莽	父母	亲戚
杨绛	钱钟书	夫妻	夫妻
谭志道	谭富英	父母	祖孙
詹咏然	庄佳容	合作	合作
黄志忠	何音	夫妻	夫妻
黄睿靓	陈致中	父母	夫妻
杨步伟	赵元任	夫妻	夫妻
徐悲鸿	蒋碧微	夫妻	夫妻
张雅晴	马琳	夫妻	夫妻
包兆龙	包玉刚	父母	父母
佐佐木敦子	庄则栋	夫妻	夫妻
孔明	孔亮	父母	兄弟姐妹
长孙皇后	唐太宗	父母	夫妻
唐太宗	李元吉	父母	兄弟姐妹
金兑姬	刘昌赫	夫妻	夫妻
刘封	刘备	父母	父母
贾谊	灌婴	父母	合作
杨俊毅	陈法蓉	夫妻	情侣
王宝强	马蓉	夫妻	夫妻
王仕鹏	王治郅	合作	合作
刘永美	刘永好	兄弟姐妹	兄弟姐妹
刘永好	刘永行	兄弟姐妹	兄弟姐妹
王靖雄	王令尘	父母	父母
孙中山	宋庆龄	夫妻	夫妻
环夫人	曹冲	父母	父母
潘霜霜	林峰	情侣	情侣
高拱	张居正	夫妻	合作
芳艳芬	任剑辉	合作	合作
梁亚兰	萧红	父母	父母
侯耀华	侯军	父母	父母
章子怡	殷旭	夫妻	兄弟姐妹
智能儿	秦钟	夫妻	情侣
陈小春	应采儿	夫妻	夫妻
罗振玉	罗福颐	父母	父母
冯远征	梁丹妮	夫妻	夫妻
杨小娟	吕良伟	夫妻	夫妻
张翼鹏	盖叫天	父母	父母
陈洁如	蒋介石	夫妻	夫妻
安阳公主	曹操	父母	父母
徐悲鸿	蒋碧微	夫妻	夫妻
王宝强	马蓉	夫妻	夫妻
赵雅芝	黄汉伟	夫妻	夫妻
周有光	张允和	夫妻	夫妻
小龙女	杨过	夫妻	夫妻
刘文步	郑福山	合作	合作
贾玲	冯巩	父母	师生
李戡	李敖	父母	父母
赵一荻	张学良	夫妻	夫妻
司马衷	司马炎	父母	父母
司马炎	晋惠帝	夫妻	父母
孔令侃	蒋介石	父母	亲戚
周芷若	张无忌	父母	夫妻
窦太后	汉武帝	合作	祖孙
郭启儒	郭全宝	合作	合作
郭启儒	侯宝林	合作	合作
卡拉扬	小泽征尔	夫妻	师生
智能儿	秦钟	夫妻	情侣
曹玹	曹操	父母	父母
朱宏钧	白岩松	夫妻	夫妻
李孝贞	李敬元	合作	合作
成龙	房祖名	父母	父母
孙甜甜	李婷	师生	合作
廖汉生	廖兰湘	父母	父母
杨光诺	杨振宁	夫妻	父母
周有光	张允和	夫妻	夫妻
芳艳芬	任剑辉	合作	合作
洪金宝	高丽虹	父母	夫妻
孔亮	孔明	父母	兄弟姐妹
孔明	孔太公	父母	父母
卞学鐄	赵元任	夫妻	父母
崔连润	鲜灵霞	师生	师生
侯耀华	侯军	师生	父母
戚继光	戚景通	父母	父母
小龙女	杨过	夫妻	夫妻
何云伟	李菁	合作	合作
刘谌	刘禅	父母	父母
曹桂喜	金慧君	父母	父母
奥尼尔	韦德	夫妻	合作
焦裕禄	焦守云	夫妻	父母
霍启刚	霍英东	情侣	祖孙
马英九	马以南	父母	兄弟姐妹
曾志伟	曾启荣	父母	父母
林彪	林立果	父母	父母
张舒雅	郭羡妮	夫妻	同门
李嘉欣	许晋亨	夫妻	夫妻
侯耀华	侯耀文	父母	兄弟姐妹
侯耀文	侯瓒	父母	父母
佟守本	汪恩禄	合作	合作
张琼华	郭沫若	夫妻	夫妻
严慰冰	陆德	父母	父母
方志敏	缪敏	夫妻	夫妻
周芷若	张无忌	师生	夫妻
李兆基	李家杰	父母	父母
卡米拉	查尔斯王子	夫妻	夫妻
Selina	任容萱	兄弟姐妹	兄弟姐妹
郑中基	郑东汉	父母	父母
李彦宏	马东敏	夫妻	夫妻
杨得志	潘自力	合作	合作
杨柳	哈辉	夫妻	夫妻
俞晴	雪村	夫妻	夫妻
周嘉威	施闻	夫妻	夫妻
侯佩岑	林月云	夫妻	父母
陶铸	曾志	夫妻	夫妻
邢夫人	王熙凤	夫妻	父母
王怡仁	蓝正龙	情侣	情侣
红薇	严化	父母	夫妻
秦沛	姜大卫	兄弟姐妹	兄弟姐妹
成龙	房祖名	父母	父母
成龙	林凤娇	父母	夫妻
房祖名	林凤娇	父母	父母
慕容暐	慕容垂	父母	亲戚
洪学智	馀秋里	夫妻	合作
张桂凤	张小巧	合作	合作
张桂凤	吕瑞英	合作	合作
傅全香	徐玉兰	合作	合作
袁雪芬	范瑞娟	合作	合作
张茜	张卫健	夫妻	夫妻
宋佳玲	罗浩	夫妻	兄弟姐妹
宋佳玲	宋祖英	兄弟姐妹	兄弟姐妹
罗浩	宋祖英	夫妻	夫妻
郑中基	蔡卓妍	情侣	夫妻
刘邦	吕雉	夫妻	夫妻
马鸿宾	马福祥	父母	亲戚
陈数	赵胤胤	合作	夫妻
杨绛	钱钟书	夫妻	夫妻
蒙嘉慧	郑伊健	情侣	情侣
周采蕰	裘丽琳	父母	父母
汤镇业	翁美玲	夫妻	情侣
宋逸民	张庭	情侣	情侣
向华胜	张玉珊	夫妻	夫妻
茹志鹃	王安忆	夫妻	父母
小龙女	杨过	夫妻	夫妻
戈米沙	普鲁申科	师生	师生
贺炳炎	贺龙	夫妻	合作
梁静慈	甄子丹	夫妻	夫妻
成龙	于占元	合作	师生
周嘉威	施闻	夫妻	夫妻
蒋勤勤	陈建斌	夫妻	夫妻
丁一平	丁秋生	父母	父母
翁归靡	解忧公主	父母	夫妻
解忧公主	元贵靡	父母	父母
阮小五	阮小七	兄弟姐妹	兄弟姐妹
梁红玉	韩世忠	夫妻	夫妻
尚和玉	娄廷玉	师生	师生
吕正操	张学良	父母	合作
杨采妮	邱韶智	夫妻	情侣
王菲	窦唯	父母	夫妻
林立果	林彪	父母	父母
蒋经国	蒋孝章	夫妻	父母
徐悲鸿	廖静文	夫妻	夫妻
小龙女	杨过	夫妻	夫妻
张丹	刘相韬	夫妻	夫妻
王玉龄	张道宇	父母	父母
傅冬菊	傅作义	父母	父母
杨荣环	雷英	师生	师生
宋佳玲	宋祖英	兄弟姐妹	兄弟姐妹
蒙毅	蒙恬	夫妻	兄弟姐妹
冯远征	梁丹妮	夫妻	夫妻
窦太后	汉武帝	合作	祖孙
李世济	程砚秋	师生	父母
姚维钧	黄炎培	夫妻	夫妻
张闾琳	赵一荻	父母	父母
张闾琳	张学良	父母	父母
赵一荻	张学良	夫妻	夫妻
谭晓风	谭咏麟	父母	父母
章小蕙	钟镇涛	夫妻	夫妻
张茜	张卫健	夫妻	夫妻
邱嘉雄	林月云	父母	情侣
林月云	侯佩岑	父母	父母
大乔	孙策	兄弟姐妹	夫妻
金敬姬	金正日	父母	兄弟姐妹
张路	吴玉芳	夫妻	夫妻
关羽	关兴	父母	父母
松赞干布	文成公主	夫妻	夫妻
程知节	李世民	夫妻	上下级
刘伯明	翟志刚	合作	合作
景海鹏	翟志刚	合作	合作
霍启刚	霍英东	父母	祖孙
龙云	林黛	夫妻	父母
房玄龄	杜如晦	夫妻	合作
王占元	李纯	父母	同门
罗嘉良	苏岩	夫妻	夫妻
梁红玉	韩世忠	夫妻	夫妻
陈宝珠	陈非侬	夫妻	父母
关羽	关兴	父母	父母
兰雨霖	朱泳腾	夫妻	夫妻
邱嘉雄	林月云	夫妻	情侣
江南春	陈玉佳	夫妻	夫妻
刘邦	吕雉	夫妻	夫妻
女娲	伏羲	夫妻	夫妻
周磊	孟瑶	父母	夫妻
胡敦复	胡明复	夫妻	兄弟姐妹
廖仲凯	陈香梅	夫妻	亲戚
哈里王子	威廉王子	父母	兄弟姐妹
杨澄甫	杨振基	父母	父母
夏姬	孔宁	父母	情侣
刘永好	刘永行	兄弟姐妹	兄弟姐妹
郭荣起	张振圻	父母	合作
长孙皇后	李世民	父母	夫妻
汉光武	阴丽华	父母	夫妻
毛泽东	贺子珍	夫妻	夫妻
刘永美	刘永好	兄弟姐妹	兄弟姐妹
刘永好	刘永行	兄弟姐妹	兄弟姐妹
鲍蕾	陆毅	夫妻	夫妻
李孝贞	李敬元	合作	合作
毛岸英	刘思齐	夫妻	夫妻
高英培	孟凡贵	合作	师生
蒋勤勤	陈建斌	夫妻	夫妻
洪秀全	罗孝全	夫妻	师生
李小龙	李香凝	父母	父母
解珍	解宝	夫妻	兄弟姐妹
王政君	王莽	夫妻	亲戚
鲍春来	林丹	合作	合作
石评梅	庐隐	师生	好友
冯王仁	冯弘	夫妻	父母
李克勤	卢淑仪	夫妻	夫妻
周嘉威	施闻	夫妻	夫妻
郑经	郑成功	父母	父母
郑经	郑克塽	父母	父母
薄瓜瓜	薄熙来	夫妻	父母
左小青	孙红雷	夫妻	情侣
赵岭	袁立	夫妻	夫妻
高竣熙	李肖逸	夫妻	同门
雒睿	雒芊芊	父母	兄弟姐妹
张末	张艺谋	父母	父母
张末	托维	父母	夫妻
蔡万生	蔡万春	兄弟姐妹	兄弟姐妹
高崚	吴圣	夫妻	夫妻
小龙女	杨过	夫妻	夫妻
高崚	吴圣	夫妻	夫妻
张桂凤	吕瑞英	合作	合作
傅全香	徐玉兰	合作	合作
袁雪芬	范瑞娟	合作	合作
王靖雄	王令尘	父母	父母
徐静斐	黎志康	父母	父母
傅二石	傅抱石	父母	父母
铁扇公主	牛魔王	夫妻	夫妻
张洛君	马国贤	合作	合作
孙婷涯	竺小招	师生	师生
蔡慧敏	杨南日	父母	情侣
刘基	胡惟庸	兄弟姐妹	合作
朱元璋	胡惟庸	夫妻	上下级
姜昆	戴志诚	合作	合作
殷旭	章子怡	夫妻	兄弟姐妹
小龙女	杨过	夫妻	夫妻
吴法宪	林彪	父母	合作
赵又廷	陈意涵	情侣	情侣
陈美琪	马清伟	夫妻	夫妻
徐申如	徐志摩	父母	父母
冯远征	梁丹妮	夫妻	夫妻
蒋勤勤	陈建斌	夫妻	夫妻
朱时茂	陈佩斯	夫妻	合作
朱岚	陶勇	兄弟姐妹	夫妻
刘銮雄	甘比	夫妻	情侣
洪金宝	元奎	兄弟姐妹	同门
赵岭	袁立	夫妻	夫妻
元稹	白居易	父母	好友
洪天明	周家蔚	情侣	夫妻
张邈	张超	父母	兄弟姐妹
陈纳德	陈香梅	夫妻	夫妻
董小宛	冒辟疆	父母	夫妻
孙甜甜	李婷	夫妻	合作
朱自清	朱闰生	父母	父母
郑少秋	郑咏恩	父母	父母
王梓木	敬一丹	夫妻	夫妻
杨采妮	邱韶智	父母	情侣
式场壮吉	欧阳菲菲	夫妻	夫妻
郭焱	郭跃	合作	合作
张兆和	沈从文	夫妻	夫妻
马君武	张竹君	夫妻	情侣
魏文亮	刘婉华	兄弟姐妹	夫妻
魏文亮	魏屹	父母	父母
郑芝龙	郑成功	父母	父母
吴君如	陈可辛	夫妻	夫妻
常东升	张凤岩	师生	师生
常东升	常兰亭	父母	父母
马廷强	黎姿	夫妻	夫妻
李恒	胡耀邦	父母	父母
李光洁	郝蕾	夫妻	夫妻
杨采妮	邱韶智	情侣	情侣
王丹丁	王明	夫妻	父母
孟庆树	王明	夫妻	夫妻
夏明震	曾志	夫妻	夫妻
宋美龄	宋子文	兄弟姐妹	兄弟姐妹
贺晓明	贺龙	父母	父母
乐基儿	黎明	夫妻	夫妻
吉增和	孟广美	情侣	情侣
刘雪华	邓育昆	夫妻	夫妻
梁思成	林徽因	夫妻	夫妻
麦嘉轩	刘遵义	夫妻	夫妻
张闾瑛	陶鹏飞	父母	夫妻
史依弘	李城儒	夫妻	夫妻
王定国	谢觉哉	夫妻	夫妻
赵又廷	高圆圆	夫妻	情侣
夏侯楙	夏侯惇	父母	父母
安贞焕	李惠媛	夫妻	夫妻
翁家明	俞小凡	夫妻	夫妻
关之琳	黄家诺	夫妻	情侣
宋江	林冲	夫妻	上下级
何文如	潘天寿	夫妻	夫妻
盖叫天	薛义杰	夫妻	夫妻
孙鲁班	孙鲁育	父母	兄弟姐妹
侯佩岑	林月云	父母	父母
曾志伟	曾启荣	父母	父母
程砚秋	李世济	师生	父母
吕后	刘邦	夫妻	夫妻
聂鸿仪	聂耳	父母	父母
叶群	林立果	父母	父母
林彪	林立果	父母	父母
朱时茂	陈佩斯	夫妻	合作
毛泽东	贺子珍	夫妻	夫妻
王菲	窦唯	夫妻	夫妻
王锡良	吴国兴	师生	师生
吕雉	刘邦	夫妻	夫妻
元彪	成龙	同门	同门
陈法蓉	朱明	夫妻	情侣
王守义	潘玉良	夫妻	好友
周有光	张允和	夫妻	夫妻
郭晓玲	郭守正	兄弟姐妹	兄弟姐妹
元彪	成龙	同门	同门
蓝心湄	黄小柔	父母	父母
陈家英	尹靖	合作	师生
Selina	任容萱	兄弟姐妹	兄弟姐妹
马伊琍	文章	夫妻	夫妻
史静	史玉柱	父母	父母
陈立夫	陈果夫	父母	兄弟姐妹
曾明娜	赖昌星	夫妻	夫妻
谭小培	谭鑫培	父母	父母
林韦辰	吕晶晶	夫妻	情侣
姜昆	戴志诚	合作	合作
王政	罗静虹	夫妻	夫妻
彭帅	谢淑薇	合作	合作
郑洁	李娜	合作	合作
彭帅	李娜	合作	合作
高竣熙	李肖逸	同门	同门
毛泽东	贺子珍	夫妻	夫妻
戴俊英	顾慰连	夫妻	夫妻
梁思成	林徽因	夫妻	夫妻
刘封	刘备	父母	父母
王政	罗静虹	夫妻	夫妻
刘邦	吕雉	夫妻	夫妻
初永真	郭守正	父母	祖孙
郭晓玲	郭守正	父母	兄弟姐妹
林淑如	郭守正	父母	父母
罗浩	宋祖英	夫妻	夫妻
王菲	窦唯	父母	夫妻
梁静慈	甄子丹	夫妻	夫妻
马英九	周美青	夫妻	夫妻
赵本山	小沈阳	师生	师生
萧绎	萧圆照	父母	亲戚
林建岳	林恬儿	父母	父母
曹丕	曹植	父母	兄弟姐妹
曹操	曹植	父母	父母
侯耀文	袁茵	夫妻	夫妻
王怡仁	蓝正龙	夫妻	情侣
周令飞	周海婴	父母	父母
吴彬	周海婴	父母	父母
江语晨	周杰伦	夫妻	情侣
付洋	彭真	父母	父母
杨德昌	蔡琴	夫妻	夫妻
谭小培	谭鑫培	父母	父母
梁静慈	甄子丹	夫妻	夫妻
刘永好	刘永行	兄弟姐妹	兄弟姐妹
张又侠	张宗逊	父母	父母
武崇训	武三思	父母	父母
张三丰	宋远桥	父母	师生
方冰	方青卓	父母	父母
骆玉笙	王冠丽	师生	师生
李玉洁	季羡林	父母	上下级
王小波	李银河	夫妻	夫妻
邱嘉雄	林月云	夫妻	情侣
林月云	侯佩岑	夫妻	父母
哈利王子	查尔斯王子	父母	父母
刘诗昆	叶剑英	夫妻	父母
文爱马	马伊琍	父母	父母
马伊琍	文章	父母	夫妻
郭可盈	林文龙	夫妻	夫妻
张惠妹	张雨生	夫妻	师生
曹植	曹丕	父母	兄弟姐妹
东乡公主	甄洛	父母	父母
侯耀文	侯瓒	师生	父母
黄睿靓	陈致中	夫妻	夫妻
黄睿靓	陈水扁	父母	父母
卢俊义	燕青	兄弟姐妹	上下级
史湘云	卫若兰	夫妻	夫妻
文征明	祝允明	兄弟姐妹	好友
薛姨妈	王子腾	兄弟姐妹	兄弟姐妹
黄睿靓	陈致中	夫妻	夫妻
黄睿靓	陈水扁	父母	父母
黄睿靓	陈幸妤	父母	亲戚
陈水扁	陈幸妤	父母	父母
贾赦	贾政	父母	兄弟姐妹
卢璐	刘一丝	父母	父母
冯跋	冯弘	父母	兄弟姐妹
周信芳	周采茨	父母	父母
周采茨	周少麟	兄弟姐妹	兄弟姐妹
毛岸英	刘思齐	夫妻	夫妻
张歆艺	王志飞	夫妻	情侣
黎民伟	严珊珊	夫妻	夫妻
皮克	夏奇拉	夫妻	情侣
陈数	赵胤胤	情侣	夫妻
刘文步	郑福山	合作	合作
王传一	曾少宗	父母	合作
李泽楷	梁洛施	情侣	情侣
袁日初	袁信义	兄弟姐妹	兄弟姐妹
袁日初	袁和平	兄弟姐妹	兄弟姐妹
文洁若	萧干	夫妻	夫妻
谭嗣同	康广仁	夫妻	合作
谭嗣同	杨深秀	夫妻	合作
王小利	温美玲	夫妻	夫妻
郑袭	郑经	父母	亲戚
郑成功	郑经	父母	父母
赵又廷	陈意涵	情侣	情侣
鲁迅	周建人	兄弟姐妹	兄弟姐妹
许广平	周建人	兄弟姐妹	兄弟姐妹
罗振玉	罗福颐	父母	父母
吴绮莉	叶崇仁	夫妻	情侣
侯耀文	袁茵	父母	夫妻
朱永义	杨威	合作	合作
冯巩	牛群	合作	合作
魏文亮	李相友	师生	师生
王弢	刘璇	夫妻	夫妻
曹仁	满宠	父母	合作
赵雅芝	黄汉伟	夫妻	夫妻
刘封	刘备	父母	父母
陈美琪	马清伟	夫妻	夫妻
约兰特	斯内德	夫妻	情侣
谭五邦	白家麟	师生	合作
冯巩	牛群	合作	合作
郑嘉颖	徐靖雯	夫妻	情侣
张东健	高小英	夫妻	夫妻
陈凛	陈逸飞	夫妻	父母
郭云深	刘晓兰	师生	同门
刘凤伦	刘晓兰	师生	师生
路三宝	于连泉	夫妻	师生
郑天亮	鲁健	夫妻	夫妻
张茜	张卫健	夫妻	夫妻
郭焱	郭跃	合作	合作
马葭	朱一锦	父母	父母
赵雅芝	黄汉伟	夫妻	夫妻
孙科	孙穗芬	父母	父母
石鲁	冯建吴	夫妻	兄弟姐妹
徐冠巨	徐传化	师生	父母
王艳	王志才	夫妻	夫妻
梅兰芳	徐兰沅	夫妻	亲戚
枣祗	枣据	父母	祖孙
苏嘉全	洪恒珠	师生	夫妻
周令飞	周海婴	父母	父母
周海婴	许广平	父母	父母
夏姬	孔宁	夫妻	情侣
吕雉	刘邦	夫妻	夫妻
姜昆	戴志诚	合作	合作
夏明震	曾志	夫妻	夫妻
吕正操	张学良	夫妻	合作
朱德群	董景昭	夫妻	夫妻
洪秀全	杨秀清	上下级	上下级
吴法宪	林彪	父母	合作
许明昌	许德义	父母	父母
黄秋燕	李连杰	夫妻	夫妻
王恂	郭守敬	父母	合作
赵雅芝	黄汉伟	夫妻	夫妻
秦可卿	秦钟	夫妻	兄弟姐妹
薛世恒	陈法拉	夫妻	情侣
刘之冰	茹萍	兄弟姐妹	夫妻
毛泽东	李讷	父母	父母
叶群	林立果	父母	父母
刘半农	钱玄同	夫妻	合作
佟守本	汪恩禄	合作	合作
林艾为	林心如	兄弟姐妹	兄弟姐妹
陈燮阳	陈蝶衣	父母	父母
周汤豪	比莉	合作	父母
刘大櫆	姚鼐	师生	师生
杜丽	庞伟	夫妻	夫妻
李小龙	李香凝	父母	父母
李圣根	晏紫	夫妻	夫妻
宋逸民	张庭	情侣	情侣
袁剑伟	林嘉欣	夫妻	夫妻
郝明莉	毛新宇	夫妻	夫妻
罗敏庄	陈国邦	夫妻	夫妻
毛泽东	毛泽建	父母	兄弟姐妹
东山纪之	木村佳乃	夫妻	夫妻
乔冠华	龚澎	夫妻	夫妻
彭德怀	彭梅魁	夫妻	亲戚
连震东	赵兰坤	夫妻	夫妻
林青霞	邢李源	夫妻	夫妻
赵一荻	张学良	兄弟姐妹	夫妻
陈竺	陈赛娟	夫妻	夫妻
新一	铃木园子	夫妻	好友
房玄龄	杜如晦	兄弟姐妹	合作
陈香梅	陈纳德	夫妻	夫妻
鲍蕾	陆毅	夫妻	夫妻
陆士嘉	张维	夫妻	夫妻
夏明翰	夏明震	父母	兄弟姐妹
马廷强	黎姿	夫妻	夫妻
慕容仁	慕容皝	父母	兄弟姐妹
陈凯歌	洪晃	父母	夫妻
郭启儒	郭全宝	合作	合作
郭启儒	侯宝林	合作	合作
万里	万宝宝	夫妻	祖孙
宋卫平	夏一波	夫妻	夫妻
李嘉欣	许晋亨	夫妻	夫妻
许晋亨	何超琼	夫妻	夫妻
项羽	虞姬	夫妻	夫妻
邓丽君	邓长顺	父母	兄弟姐妹
邓丽君	邓长禧	父母	兄弟姐妹
夏时济	陈云凤	父母	父母
江泽民	江上青	父母	父母
钱学森	钱永健	夫妻	亲戚
贾赦	贾政	夫妻	兄弟姐妹
叶群	林立果	父母	父母
侯耀华	侯军	父母	父母
薄熙来	薄熙永	父母	兄弟姐妹
张兰	汪小菲	夫妻	父母
傅冬菊	傅作义	父母	父母
李圣根	晏紫	情侣	夫妻
戴乃迭	杨宪益	夫妻	夫妻
李元霸	李渊	夫妻	父母
林月琴	罗荣桓	父母	夫妻
冯翼	冯跋	父母	父母
何泽慧	何怡贞	夫妻	兄弟姐妹
霍启山	霍英东	兄弟姐妹	祖孙
林建岳	林孝贤	父母	父母
胡瓜	丁柔安	夫妻	情侣
吕正操	张学良	兄弟姐妹	合作
莫科	姚明	夫妻	合作
黄志忠	何音	夫妻	夫妻
黄睿靓	陈致中	夫妻	夫妻
黄睿靓	陈水扁	父母	父母
陈水扁	吴淑珍	父母	夫妻
王宝强	马蓉	夫妻	夫妻
郭德纲	张文顺	师生	合作
张菲	费贞绫	父母	兄弟姐妹
元彪	成龙	同门	同门
野比大助	野比大雄	父母	父母
吴小楼	尹桂芳	合作	合作
徐天红	袁雪芬	合作	合作
徐天红	竺水招	合作	合作
徐天红	范瑞娟	合作	合作
傅全香	徐玉兰	合作	合作
袁雪芬	范瑞娟	合作	合作
宋美龄	蒋介石	兄弟姐妹	夫妻
宋美龄	宋子文	兄弟姐妹	兄弟姐妹
蒋介石	倪桂珍	兄弟姐妹	父母
宋庆龄	倪桂珍	父母	父母
关楚耀	卫诗	情侣	情侣
张靓颖	赵晨浩	好友	情侣
刘秀	阴丽华	夫妻	夫妻
帖雅娜	姜华珺	合作	合作
卢璐	刘一丝	父母	父母
杨玄琰	杨玉环	父母	父母
毛泽东	贺子珍	夫妻	夫妻
马君武	张竹君	夫妻	情侣
鲍莉	陆毅	兄弟姐妹	兄弟姐妹
鲍蕾	陆毅	夫妻	夫妻
郭京飞	陆毅	兄弟姐妹	兄弟姐妹
陆云	陆机	父母	兄弟姐妹
山中鹿之介	立原久纲	夫妻	亲戚
刘秀	冯异	兄弟姐妹	上下级
东山纪之	木村佳乃	夫妻	夫妻
潘霜霜	林峰	情侣	情侣
叶群	林立果	父母	父母
林立果	林彪	父母	父母
毛泽东	毛泽建	夫妻	兄弟姐妹
芳艳芬	任剑辉	合作	合作
丁敏君	纪晓芙	父母	同门
慕容皝	慕容廆	父母	父母
洪天照	曹恩玉	父母	父母
洪天照	洪煦榆	父母	兄弟姐妹
洪天祥	洪煦榆	父母	兄弟姐妹
洪天祥	洪金宝	父母	父母
孙休	孙壾	父母	父母
王政君	王莽	父母	亲戚
鲁迅	周作人	兄弟姐妹	兄弟姐妹
帕瓦罗蒂	多明戈	夫妻	合作
薄熙来	薄瓜瓜	父母	父母
刘备	刘禅	父母	父母
罗倩文	张国立	夫妻	夫妻
铁扇公主	牛魔王	夫妻	夫妻
岳美缇	萧雅	夫妻	师生
刘永好	刘畅	父母	父母
韩布新	戎	师生	师生
洪天明	周家蔚	情侣	夫妻
蔡诗萍	许信良	夫妻	亲戚
崔世安	霍慧芬	夫妻	夫妻
杨步伟	赵元任	夫妻	夫妻
程颐	吕大忠	师生	师生
和田清	原田淑人	同门	同门
徐帆	冯小刚	夫妻	夫妻
赵姝祺	刘国正	夫妻	情侣
元奎	李连杰	夫妻	合作
陈英雪	古巨基	父母	情侣
陈洁如	蒋介石	夫妻	夫妻
乔冠华	龚澎	夫妻	夫妻
唐太宗	长孙皇后	兄弟姐妹	夫妻
唐太宗	长孙无忌	兄弟姐妹	兄弟姐妹
长孙皇后	长孙无忌	兄弟姐妹	兄弟姐妹
朱珠	李泉	夫妻	情侣
金正恩	高英姬	夫妻	父母
惜春	贾敬	夫妻	父母
郑咏恩	郑少秋	父母	父母
黄睿靓	陈致中	夫妻	夫妻
黄睿靓	陈水扁	父母	父母
黄睿靓	陈幸妤	父母	亲戚
陈水扁	陈幸妤	父母	父母
何超琼	许晋亨	夫妻	夫妻
赵一荻	张学良	夫妻	夫妻
汪圆圆	甄子丹	兄弟姐妹	兄弟姐妹
李嘉欣	许晋亨	夫妻	夫妻
洪秀全	罗孝全	夫妻	师生
姚滨	赵宏博	师生	师生
裘盛戎	刘雪涛	合作	合作
邱羿霖	孙道存	父母	情侣
朱岚	陶勇	夫妻	夫妻
金雅楼	金月楼	夫妻	兄弟姐妹
高冈苍甫	宫崎葵	父母	夫妻
吴君如	陈可辛	夫妻	夫妻
文洁若	萧干	夫妻	夫妻
左小青	孙红雷	夫妻	情侣
项羽	虞姬	夫妻	夫妻
周学良	周吕鑫	夫妻	祖孙
胡中惠	郭麒麟	父母	父母
胡中惠	郭德纲	夫妻	夫妻
傅天正	傅志清	夫妻	父母
陈小春	应采儿	夫妻	夫妻
杜丽	庞伟	夫妻	夫妻
邓伟	李可染	夫妻	师生
元彪	成龙	同门	同门
姚沁蕾	姚明	父母	父母
曹操	曹植	父母	父母
曹丕	曹植	兄弟姐妹	兄弟姐妹
小龙女	杨过	夫妻	夫妻
王小波	李银河	夫妻	夫妻
李望知	李丹宇	夫妻	父母
元彪	成龙	同门	同门
马鸿宾	马福祥	父母	亲戚
包庭政	包小柏	兄弟姐妹	亲戚
包庭政	包伟铭	兄弟姐妹	父母
程咬金	程知节	父母	合作
李圣根	晏紫	夫妻	夫妻
石鲁	冯建吴	夫妻	兄弟姐妹
赵又廷	阮经天	夫妻	好友
周继红	田秉毅	夫妻	夫妻
侯宝林	郭启儒	父母	合作
郭启儒	郭全宝	合作	合作
蒋才如	蒋风之	父母	师生
环夫人	曹冲	父母	父母
言承旭	关颖	情侣	情侣
小白玉梅	李艳芳	合作	合作
施银花	姚水娟	合作	同门
施银花	屠杏花	合作	合作
吴淑珍	陈水扁	夫妻	夫妻
廖承志	经亨颐	父母	父母
约兰特	斯内德	夫妻	情侣
赵一荻	张学良	夫妻	夫妻
黄燕虹	黄光裕	夫妻	兄弟姐妹
曹节	刘协	夫妻	夫妻
白全福	阿双全	师生	师生
诹访御料人	武田胜赖	父母	父母
哪咤	托塔李天王	父母	父母
郑中基	郑东汉	父母	父母
刘雪华	邓育昆	夫妻	夫妻
杨采妮	邱韶智	情侣	情侣
陈凛	陈逸飞	父母	父母
